,ORDER_DAY,NUM_ORDERS,COMPARABLE_TOTAL_COST,PARENT_TOTAL_COST_
219,2022-08-07,498,16196.930000000004,15785.200000000004
220,2022-08-08,447,12914.9309,12573.614899999997
221,2022-08-09,404,12267.48,12058.970000000007
222,2022-08-10,396,11774.669999999996,11432.809999999998
223,2022-08-11,389,11574.37,11326.679999999995
224,2022-08-12,421,12209.520000000002,11995.37
225,2022-08-13,404,12467.509999999998,12230.920000000004
226,2022-08-14,572,20174.15,19754.319999999996
227,2022-08-15,436,14733.359999999999,14302.830000000005
228,2022-08-16,395,12118.250000000002,11839.679999999997
229,2022-08-17,389,12697.579999999993,12311.520000000002
230,2022-08-18,378,10819.08,10606.400000000003
231,2022-08-19,402,12725.460000000003,12351.889999999998
232,2022-08-20,447,15687.519999999999,15268.979999999996
233,2022-08-21,629,19055.610000000004,18643.180000000004
234,2022-08-22,436,13382.520000000002,13094.090000000002
235,2022-08-23,396,10720.05,10555.909999999996
236,2022-08-24,409,12400.209999999997,12201.569999999996
237,2022-08-25,384,12222.279999999995,11879.77
238,2022-08-26,454,14849.9,14431.139999999998
239,2022-08-27,508,17513.29,17039.380000000005
240,2022-08-28,620,20942.30999999999,20617.540000000005
241,2022-08-29,458,15877.34,15527.650000000001
242,2022-08-30,373,12714.81,12498.9
