,parent_cust_pairs,parent_cust_dist,parent_a,cust_b
15,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'c9e06817ba4d232254defb202900d0c0')",13.97559415543535,4ffbd5c8221d7c147f8363ccdc9a2a37,c9e06817ba4d232254defb202900d0c0
16,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'b7eed8c64758060fb84aeabc80c30451')",15.442466363629922,4ffbd5c8221d7c147f8363ccdc9a2a37,b7eed8c64758060fb84aeabc80c30451
17,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '5b739193ef55ecc9cb3d283ba3df37d5')",10.850027815402068,4ffbd5c8221d7c147f8363ccdc9a2a37,5b739193ef55ecc9cb3d283ba3df37d5
18,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'ecd4575994c9e7085813b60067d3d55f')",24.831674990180755,4ffbd5c8221d7c147f8363ccdc9a2a37,ecd4575994c9e7085813b60067d3d55f
19,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'dd9f113701c7494db4b83965947ba7a4')",14.98135950261954,4ffbd5c8221d7c147f8363ccdc9a2a37,dd9f113701c7494db4b83965947ba7a4
20,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '7c75b03b1cdf0581b3cf0ace83677e5f')",17.576939386124245,4ffbd5c8221d7c147f8363ccdc9a2a37,7c75b03b1cdf0581b3cf0ace83677e5f
21,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'c6a2a2a5ee196991efa0c1245a9f3bce')",14.234664110727364,4ffbd5c8221d7c147f8363ccdc9a2a37,c6a2a2a5ee196991efa0c1245a9f3bce
22,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'c375898563f3586fb1a66fd3bb2daedf')",24.382865358741455,4ffbd5c8221d7c147f8363ccdc9a2a37,c375898563f3586fb1a66fd3bb2daedf
23,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'a5f3c3dcf836dbd3f458616c2e5e1666')",11.031133971436345,4ffbd5c8221d7c147f8363ccdc9a2a37,a5f3c3dcf836dbd3f458616c2e5e1666
24,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '0f2ef5b907206643c87b20af94d53030')",8.75558089514348,4ffbd5c8221d7c147f8363ccdc9a2a37,0f2ef5b907206643c87b20af94d53030
25,"('4ffbd5c8221d7c147f8363ccdc9a2a37', '45d985cbac61b6ae3913cc61442af80c')",10.275825549670797,4ffbd5c8221d7c147f8363ccdc9a2a37,45d985cbac61b6ae3913cc61442af80c
26,"('4ffbd5c8221d7c147f8363ccdc9a2a37', 'bb8fc07929c8c10c39fab6634aaa7d47')",31.122260229498767,4ffbd5c8221d7c147f8363ccdc9a2a37,bb8fc07929c8c10c39fab6634aaa7d47
